input,output
Donations are a cornerstone of community giving.,"['Donations <> Community Giving', 'Cornerstone <> Foundation']"
Uz : ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? | ? ? ? ? ? ? ? ? ? ? ? ? ?,"['Unfortunately, no meaningful entities can be identified from the given input text. It appears to be a series of question marks and vertical bars, without any context or language structure to analyze. Please provide a different input text for entity recognition']"
The leading tool for designing print products.,"['tool <> design tool', 'print products <> product type']"
curb mount vs deck mount skylight skylight installation help curb mounted and deck mount skylights.,"['curb mount skylight <> skylight type', 'deck mount skylight <> skylight type']"
"This 4-bedroom home, in Summerville, is in excellent condition. From the cozy deck off of the front porch to the elegance found within, this dwelling is available at a wonderful price.","['Summerville <> Location', '4-bedroom home <> Property', 'cozy deck <> Feature', 'front porch <> Feature', 'elegance <> Feature', 'dwelling <> Property', 'wonderful price <> Feature']"
What is it that you like about sailing?,"['sailing <> activity/hobby', 'you <> person', 'like <> emotion/action', '']"
"2 ounces or less is a class B misdemeanor with a penalty of not more than 180 days in a county jail and/or a fine of not more than $2,000.","['class B misdemeanor <> crime', '180 days <> time period', 'county jail <> correctional facility', '$2,000 <> monetary fine']"
"Cabine et emplacement pour feu de camp avec belle vue. Il est à 10-15 minutes de montée depuis le parking. Vous pouvez voir la cabine du ""musée en plein air Gállogieddi Sami"".","['Cabine <> Location/Structure', 'emplacement pour feu de camp <> Location/Structure', 'belle vue <> Scenery/Nature', 'parking <> Location/Structure', 'musée en plein air Gállogieddi Sami <> Museum/Institution']"
We are sure that each child will find this a truly happy and Christian atmosphere.,"['child <> person', 'happy <> emotion', 'Christian <> religion']"
"Ali pursued fellowship training in Cornea, External Disease, Anterior Segment, and Refractive surgery at Price Vision Group-Indianapolis with Dr. Frank Price  one of the pioneers of modern Posterior lamellar Keratoplasty.","['Ali <> Person', 'fellowship training <> Education/Training', 'Cornea <> Body Part', 'External Disease <> Medical Condition', 'Anterior Segment <> Body Part', 'Refractive surgery <> Medical Procedure', 'Price Vision Group-Indianapolis <> Organization', 'Dr. Frank Price <> Person', 'Posterior lamellar Keratoplasty <> Medical Procedure']"
Go wild crafting on our wreath making workshop!,['wreath<>crafting worksho']
Spectrum theme was first designed by WP for WP Blog.,"['Spectrum theme <> website theme', 'WP <> company', 'WP Blog <> website']"
"Close to shops and eateries, you'll love the classic country-feel of this abode that still give you access to all you desire. The fabulous open floor plan provides lots of room for entertaining.","['shops <> location', 'eateries <> location', 'classic country-feel <> aesthetic', 'abode <> housing unit', 'open floor plan <> architectural feature', 'entertaining <> activity']"
Dr. Ali graduated with Honors from the University of Wisconsin-Madison and obtained his Medical degree from the Medical College of Wisconsin-Milwaukee. Dr. Ali completed a year of internship at St.,"["". Luke's Hospital in Milwaukee before completing his residency in Internal Medicine at the University of Illinois-Chicago. He is currently practicing at the Northwestern Memorial Hospital in Chicago"", '', 'University of Wisconsin-Madison <> Educational Institution', '', 'Medical College of Wisconsin-Milwaukee <> Educational Institution', '', ""St. Luke's Hospital <> Healthcare Facility"", '', 'University of Illinois-Chicago <> Educational Institution', '', 'Northwestern Memorial Hospital <> Healthcare Facility']"
I am sure should be a lot in search.,"['I <> Pronoun', 'search <> Noun', 'lot <> Noun']"
power driven 60 in 4 drawer hardwood workbench harbor freight n.,"['power driven <> tool/machinery', '60 in <> measurement', '4 drawer <> furniture', 'hardwood <> material', 'workbench <> furniture/tool', 'harbor freight <> store/brand']"
"The candidates will be offered a seat on the basis of their score in the AEEE 2019. The online window for the application process had begun from October 19, 2018. The last date to submit the application is May 15, 2019.","['AEEE 2019 <> Examination/Event', 'candidates <> Individuals', 'score <> Measurement', 'online window <> Platform', 'application process <> Procedure', 'October 19, 2018 <> Date/Time', 'May 15, 2019 <> Date/Time']"
"In certain rooms you'll find shiny wood flooring. Relax in the peaceful sunroom, located right off of the master suite. Light filled, well-crafted and in an ideal location, you must see this ranch home today!","['shiny wood flooring <> Flooring Material', 'peaceful sunroom <> Room Type', 'master suite <> Room Type', 'ranch home <> House Type']"
The area around the external sexual partner of the infected needles or have antiviral effects.,"['area around external sexual partner <> body part', 'infected needles <> object', 'antiviral effects <> treatment']"
What sort of stuff do you make?,"['stuff <> product/service', 'make <> activity']"
This school is a workshop with children living and learning together. Each child is provided with the best possible environment for the growth and development of young children.,"['school <> Institution', 'children <> Individual', 'learning <> Activity', 'environment <> Setting', 'growth <> Process', 'development <> Process', 'young children <> Group']"
"This form of abuse presents itself in form of physical abuse, emotional abuse, mental abuse or intellectual, sexual abuse and or even neglect.","['physical abuse <> type of abuse', 'emotional abuse <> type of abuse', 'mental abuse <> type of abuse', 'intellectual abuse <> type of abuse', 'sexual abuse <> type of abuse', 'neglect <> type of abuse']"
Let’s Renovate Walls Using a Stapler!,"['Renovate Walls <> Task/Action', 'Stapler <> Tool/Instrument']"
How can I find a genuinely Pet friendly Hotel in Pitlochry?,"['Pet friendly Hotel <> Hotel', 'Pitlochry <> Location']"
"Backwelt Pilz GmbH, Industriestrasse 6, 3943 Schrems, is responsible for processing your personal data on our website. The details regarding Backwelt Pilz GmbH can be found in the legal notice.","['Backwelt Pilz GmbH <> Organization', 'Industriestrasse 6 <> Address', '3943 Schrems <> Address', 'personal data <> Information', 'website <> Digital Platform', 'legal notice <> Legal Document']"
"NEW YORK (CBS/AP) While Natalee's mother Beth Holloway accepts findings that a bone found on an Aruba beach did not come from her daughter, she is not pleased with how Aruba prosecutors handled the announcement.","['Natalee <> Person', 'Beth Holloway <> Person', 'Aruba <> Place', 'Prosecutors <> Organization', 'Bone <> Object', 'Beach <> Place', 'Announcement <> Event']"
"In order to facilitate the currency move, or send money from India to UAE, a Indian Rupee to United Arab Emirates Dirham currency transfer is needed.","['India <> Country', 'UAE <> Country', 'Indian Rupee <> Currency', 'United Arab Emirates Dirham <> Currency', 'Currency transfer <> Financial transaction']"
"A notification about your action will appear in the chat, visible to the model and the other chat users. MissJess will be sure to appreciate this gesture and be immeasurably grateful to you!","['notification <> Event', 'action <> Task/Activity', 'chat <> Communication', 'model <> AI/Technology', 'chat users <> People/Community', 'MissJess <> Person/Community', 'gesture <> Action/Behavior', 'grateful <> Emotion/Feeling']"
Use preferred lender to buy this home and receive an incentive towards your closing costs!,"['preferred lender <> Mortgage Lender', 'home <> Property', 'incentive <> Financial reward', 'closing costs <> Real Estate Expense']"
"New Supervisor Desktop with Real-time Agent Performance Monitoring, Follow-up Tracking & 360 View of Contact Center, Custom Made for Your Organization.","['Supervisor Desktop <> Product/Service', 'Real-time Agent Performance Monitoring <> Functionality', 'Follow-up Tracking <> Functionality', '360 View of Contact Center <> Functionality', 'Custom Made <> Product/Service']"
We also carry a wide variety of heavier commercial with taller heights if necessary.,"['commercial <> Product Type', 'taller heights <> Product Feature']"
Our family-owned company is Europe's leading board games manufacturer and specialized manufacturer of creative cardboard packaging solutions.,"['Europe <> Location', 'family-owned company <> Organization', 'board games <> Product', 'manufacturer <> Occupation', 'creative cardboard packaging solutions <> Product']"
Wow… That’s all I can say in response to the free eBook of Seven Stories.,"['Seven Stories <> Book Title', 'eBook <> Format']"
"Eastern State Tire provides Heating System Service services to West Nyack, NY, Nanuet, NY, New City, NY, and other surrounding areas.","['Eastern State Tire <> Company', 'Heating System Service <> Service', 'West Nyack, NY <> Location', 'Nanuet, NY <> Location', 'New City, NY <> Location', 'surrounding areas <> Location']"
In UAE the currency is United Arab Emirates Dirham (abbreviated as AED). In India the currency is Indian Rupee (abbreviated as INR).,"['UAE <> Country', 'United Arab Emirates Dirham <> Currency', 'AED <> Currency Abbreviation', 'India <> Country', 'Indian Rupee <> Currency', 'INR <> Currency Abbreviation']"
"By clicking the button, you will be raising MissJess to the first position on the main page for 60 seconds. During this time the model's chat room will become much more visible and incredibly popular!","['MissJess <> Cam model', 'first position <> Ranking', 'main page <> Website section', '60 seconds <> Time period', ""model's chat room <> Online chat room"", 'visible <> Visibility', 'incredibly popular <> Popularity']"
"Coach 托特包 tote bag , poppy series *正版Original coach!","['Coach <> Brand', '托特包 <> Product', 'poppy series <> Product line', '正版 <> Authenticity']"
"5Allenzplus: Shayne Graduated, Let's Eat!","['Shayne <> Person', 'Graduated <> Action/Event', ""Let's Eat <> Action/Event"", '5Allenzplus <> Organization/Brand']"
This page provides just few examples of widgets and tickers designed for Mehadrin Ltd. Please see also Stocks Correlation.,"['Mehadrin Ltd. <> Company', 'Stocks Correlation <> Tool/Service']"
The post love lines appeared first on Crystal Dawn Yoga.,"['Crystal Dawn Yoga <> Business/Brand Name', 'Love Lines <> Blog/Article Title']"
Looking for a vibrant dance teacher to join us during our stage school on Saturday mornings.,"['dance teacher <> occupation', 'stage school <> location', 'Saturday mornings <> time']"
"Minnesota employers added 2,500 jobs in January, according to seasonally adjusted figures released today by the Minnesota Department of Employment and Economic Development.","['Minnesota <> Location', 'Employers <> Occupation/Industry', 'January <> Time', 'Minnesota Department of Employment and Economic Development <> Organization']"
"Do you need a Top Payday Loan companies in in Venetie, Yukon Koyukuk county, AK 99781, USA? Hey, it happens to the best of us. There are a few things you should know about the types of loans available to you!","['Top Payday Loan companies <> Financial Institution', 'Venetie <> Location', 'Yukon Koyukuk county <> Location', 'USA <> Location', 'loans <> Financial Product', 'types of loans <> Financial Product']"
"The Supreme Court on Monday voided the decision of the Court of Appeal, Port Harcourt Division, which gave permission to the the All Progressives Congress (APC) in Rivers State to conduct congresses.","['Supreme Court <> Court of Law', 'Monday <> Time/Date', 'Court of Appeal <> Court of Law', 'Port Harcourt Division <> Geographical Location', 'All Progressives Congress (APC) <> Political Party', 'Rivers State <> Geographical Location', 'Congresses <> Political Event']"
Listing on the “BEST ADVENTURE TRAVEL COMPANIES [on earth]” by the editors of National Geographic Adventure Magazine.,"['BEST ADVENTURE TRAVEL COMPANIES <> Company', 'National Geographic Adventure Magazine <> Magazine', 'Earth <> Planet']"
How do I establish rapport with a seller? Do you have any tips or tricks?,"['rapport <> Communication skill', 'seller <> Person/Role', 'tips <> Advice/Recommendation', 'tricks <> Method']"
A Republican congressman and two veterans groups slammed the Department of Veterans Affairs on Friday for spending millions of dollars on art.,"['Republican congressman <> Political figure', 'Department of Veterans Affairs <> Government agency', 'Veterans Affairs <> Government agency', 'Millions of dollars <> Currency', 'Art <> Form of expression', 'Two veterans groups <> Non-profit organization']"
Fix that golfer's elbow and get back to playing 18 without pain.,"[""golfer's elbow <> injury/pain""]"
"Philadelphia, after years of the rebuilding saga known as ""The Process,"" has a chance as well. The 76ers are going into the playoffs on a 16-game winning streak.","['Philadelphia <> City', '""The Process"" <> Sports team strategy', 'The 76ers <> Sports team', 'Playoffs <> Sports competition', '16-game winning streak <> Sports achievement']"
"The top executive of General Motors has apologised for deaths linked to the delayed recall of 1. 6 million small cars, saying the company took too long to bring the cars in for repairs.","['General Motors <> Corporation', 'apologised <> Action', 'deaths <> Event', 'recall <> Action', '1.6 million <> Quantity', 'small cars <> Object', 'repairs <> Action']"
"Walking in you will be wowed by lots of gleaming tiling, vaulted ceilings and lots of clean lines. The formal dining room boasts crown molding, a gracefully chandelier and large window giving a glimpse of the serene outdoors.","['gleaming tiling <> Interior Design Element', 'vaulted ceilings <> Interior Design Element', 'clean lines <> Interior Design Element', 'formal dining room <> Room Type', 'crown molding <> Interior Design Element', 'graceful chandelier <> Lighting Fixture', 'large window <> Window Type', 'serene outdoors <> Natural Setting']"
"A perpetual pool of salt water could take its toll on infrastructure. Connections may corrode and water molecules could wedge their way into microscopic cracks in fiber-optic lines. A barrage from storms and floods could damage buried cabling, all leading to signal loss.","['perpetual pool of salt water <> geographic feature', 'infrastructure <> man-made object', 'connections <> man-made object', 'water molecules <> chemical substance', 'microscopic cracks <> physical feature', 'fiber-optic lines <> man-made object', 'storms <> natural event', 'floods <> natural event', 'buried cabling <> man-made object', 'signal loss <> technical issue']"
"For more, visit JeffLoomis. com.",['JeffLoomis <> Person/Artist']
"Our curriculum will provide play and work activities to further develop the physical, social, emotional and intellectual abilities of each child.","['curriculum <> educational program', 'play <> activity type', 'work activities <> activity type', 'physical abilities <> skill set', 'social abilities <> skill set', 'emotional abilities <> skill set', 'intellectual abilities <> skill set']"
"The kitchen provides lots of white cabinetry, top-rated appliances, plenty of counter space for meal prep and dual sink. Two full bathrooms offer convenience, when it comes to hosting guests.","['The kitchen <> Room', 'white cabinetry <> Furniture', 'top-rated appliances <> Home appliances', 'counter space <> Furniture', 'meal prep <> Activity', 'dual sink <> Fixture', 'full bathrooms <> Room', 'guests <> Person']"
"​Chain link is Leoco's Original fence! This is the fence we built our reputation on. If you’re looking for the longest lasting, most hassle free fence, that doesn't block our beautiful mountain views, chain link is for you.","['Chain link <> Fence material', 'Leoco <> Company', 'Reputation <> Business reputation', 'Hassle free fence <> Fence type', 'Mountain views <> Scenery']"
"Diversified primary fund investments with top-tier buyout, venture capital and special situations sponsors, as well as opportunistic co-investment and secondary investments with selected managers.","['Primary fund investments <> Investment type', 'Buyout <> Investment type', 'Venture capital <> Investment type', 'Special situations sponsors <> Investment type', 'Co-investment <> Investment type', 'Secondary investments <> Investment type', 'Selected managers <> Investment type']"
The carpet recycling organization reelected two board veterans and added two new faces to its 17-member board.,"['carpet recycling organization <> organization', 'board veterans <> person', 'new faces <> person', '17-member board <> organization']"
More information can be found at https://weth. io/.,['https://weth.io/ <> Website']
"Versatile and comfortable grey top made in wool blend fabric designed by Bellerose, from the New Fall Winter 18/19 Collection - Little Girl clothing line.","['Bellerose <> Clothing brand', 'New Fall Winter 18/19 Collection <> Clothing collection', 'Little Girl clothing line <> Clothing line', 'Grey top <> Clothing item', 'Wool blend fabric <> Fabric type']"
Christian Doidge scored the only goal as Carmarthen Town beat champions The New Saints to finish third in the Welsh Premier League.,"['Christian Doidge <> Person', 'Carmarthen Town <> Organization', 'The New Saints <> Organization']"
"Macroaxis equity widgets for Mehadrin Ltd can be integrated to existing financial portals, investment related sites, business school online boards, or personal blogs.","['Macroaxis equity widgets <> Tool/Software', 'Mehadrin Ltd <> Company', 'Financial portals <> Platform', 'Investment related sites <> Platform', 'Business school online boards <> Platform', 'Personal blogs <> Platform']"
"Zinsco or GTE-Sylvania panel brands were popular for electrical panel installations in homes throughout the 1970s. Zinsco is now defunct, but many homes still have these panels and your electrician can help you identify.","['Zinsco <> panel brand', 'GTE-Sylvania <> panel brand', '1970s <> time period', 'homes <> location', 'electrician <> profession', 'panels <> object']"
"It is also available in the less obtrusive color vinyl coatings of Brown, Green, Black, Tan or even White. It comes in heights ranging from 3ft to 6 ft.","['Brown <> Color', 'Green <> Color', 'Black <> Color', 'Tan <> Color', 'White <> Color', '3ft <> Height', '6ft <> Height']"
"In Melbourne, following the midweek win of Eshtiraak, well-bred filly Formality can add her name to the burgeoning crop of Lindsay Park juveniles when she contests the Chairman’s Stakes (Race 5) over 1000m at Caulfield.","['Melbourne <> Location', 'Eshtiraak <> Horse', 'Formality <> Horse', 'Lindsay Park <> Stable', 'juveniles <> Age Group', ""Chairman's Stakes <> Horse Race"", '1000m <> Distance', 'Caulfield <> Racecourse']"
Poor Girl Eats Well: Product Review: Wanchai Ferry Beef & Broccoli + GIVEAWAY!,"['Wanchai Ferry <> Food Product', 'Beef & Broccoli <> Food Dish', 'GIVEAWAY <> Promotion']"
Here at Leoco we only use the heavier 16 gauge post and top-rail with an 11 1/2 gauge galvanized fabric or the heavier 9 gauge fabric on our color option.,"['Leoco <> Company', '16 gauge post <> Product', 'Top-rail <> Product', '11 1/2 gauge galvanized fabric <> Product', '9 gauge fabric <> Product', 'Color option <> Product']"
Controls 2 devices: TV and DTT receiver.,"['TV <> device', 'DTT receiver <> device']"
Serve it for a simple weeknight meal or joosh it up with some creamy mashed taters & steamed greens for a stress-free dinner party meal.,"['simple weeknight meal <> meal type', 'creamy mashed taters <> dish', 'steamed greens <> dish', 'stress-free dinner party meal <> meal type']"
the odyssey lesson plans 9th grade get the odyssey literature unit here odyssey lesson plans 9th grade.,"['the Odyssey <> literary work', '9th grade <> educational level', 'Odyssey literature unit <> educational material', 'lesson plans <> educational material']"
"His solo album, Zero Phase Order, was released on Century Media in September 2008, and Nevermore's most recent release, The Obsidian Conspiracy, came out in early 2010.","['Zero Phase Order <> Solo album', 'Century Media <> Record label', 'Nevermore <> Music group', 'The Obsidian Conspiracy <> Album', 'Early 2010 <> Release date']"
Made for charging big lines with massive scando style!,"['charging device <> technology', 'big lines <> event/phenomenon', 'massive scando style <> fashion/style']"
Barely worn  1/2 CT. T. W. Diamanté  Fine Jewelry See Pictures  No Flaws  You Like!,"['1/2 CT. T. W. Diamanté <> Jewelry', 'Pictures <> Visual Content', 'Flaws <> Imperfections', 'Like <> Preference']"
"imported SKF 2 7313 BECBY DB bearing supply in USA are widely used in industrial drive, agriculture, compressors, motors and generators, construction, industrial fan, industrial transmission and other fields.","['SKF 2 7313 BECBY DB <> SKF Bearing', 'USA <> Country', 'industrial drive <> Industrial Equipment', 'agriculture <> Industry', 'compressors <> Industrial Equipment', 'motors <> Industrial Equipment', 'generators <> Industrial Equipment', 'construction <> Industry', 'industrial fan <> Industrial Equipment', 'industrial transmission <> Industrial Equipment']"
"Payday Loans Through Paypal, Visa, Mastercard, Skrill - 98% Approved in 1 Hour. Easy Approved. Easy Loan, Get Fast Cash Advance Now.","['Payday Loans <> Financial Service', 'Paypal <> Payment Gateway Service', 'Visa <> Credit Card Company', 'Mastercard <> Credit Card Company', 'Skrill <> Payment Gateway Service', 'Fast Cash Advance <> Financial Service']"
"Washington Academy is a Private Senior High School business in East Machias, ME.","['Washington Academy <> Educational Institution', 'East Machias <> Location', 'ME <> Location']"
"From many choices on the web were sure this image may well be a perfect guide for you, and we sincerely we do hope you are satisfied with what we present.","['web <> Technology/Platform', 'image <> Visual Content', 'guide <> Informational Material', 'you <> Person/Individual', 'we <> Group/Organization', 'sincerely <> Emotion/Expression', 'hope <> Emotion/Expression', 'present <> Action/Event']"
It is characterized by a simple and essential design with classic round neck and gray melange monochromatic surface. The Bellerose shirt is available for girls in Baby and Junior sizes from 6 to 12 years.,"['Bellerose shirt <> Clothing item', 'classic round neck <> Clothing feature', 'gray melange <> Color', 'girls <> Demographic group', 'Baby and Junior sizes <> Size range']"
*型號Model: K1082-16289 *尺寸Size: 40Lx13Wx32H cm *材質Material: 帆布canvas *顏色Color: beige body米褐色大身+ pink粉紅 PVC 手把和吊牌背面有髒污(見最後一張圖) Handle and the back of hangtag has a bit marks.,"['型號Model <> product model', '尺寸Size <> product size', '材質Material <> product material', '顏色Color <> product color', 'beige body米褐色大身 <> color of the body part of the bag', 'pink粉紅 <> color of the handle and the back of the hangtag', '手把和吊牌背面有髒污(見最後一張圖) <> dirt on the handle and the back of the hangtag (see last picture)']"
"Whether you have a flood, an unexpected leak, frozen or broken pipe water damage, sewage damage, or water in basement, we fully understand the urgency of getting the water or sewage out as soon as possible.","['flood <> natural disaster', 'unexpected leak <> plumbing issue', 'frozen or broken pipe water damage <> plumbing issue', 'sewage damage <> plumbing issue', 'water in basement <> home damage']"
We look forward to working with you!,"['We <> Pronoun', 'working <> Verb', 'you <> Pronoun']"
"however, we failed to experience any connection firefox extension to access blocked sites drops or a major speed drop. While using this service, there were problems in speed when using Hola extension because it crashed a few times.","['firefox extension <> software tool', 'blocked sites <> online content', 'speed drop <> performance issue', 'Hola extension <> software tool']"
"This review has been published over at Writers Bloc, so go check it out there!","['Writers Bloc <> organization', 'review <> document']"
limited invites! ! hi l've got limited invites to get your hands on thousands of free cryto coins you get over 14.,"['crypto coins <> cryptocurrency', 'limited invites <> invitation', 'thousands of free crypto coins <> reward']"
Your message will be redirected to the corresponding support team. Our team member will come in touch with you with-in 48 hours.,"['support team <> team', 'message <> communication', 'team member <> individual', '48 hours <> time period']"
"It is currently trading on 6 active market(s) with 383,520 USD traded over the last 24 hours.","['6 active market(s) <> Financial Market', '383,520 USD <> Currency']"
WETH in circulation. The last known price of WETH is 150. 18 USD and is down 8. 59% over the last 24 hours.,"['WETH <> Cryptocurrency', 'USD <> Currency', '24 hours <> Time period']"
They’re tucked in bed now and I’m half watching American Idol while I type.,['American Idol <> TV Show']
"Get approved for a good or bad credit personal loan quickly from a local Venetie, Yukon Koyukuk county, AK 99781, USA We connect you to dozens of lenders who offer quick cash advance loans, for $100 to $1000 online.","['Venetie <> Location', 'Yukon Koyukuk county <> Location', 'AK 99781 <> Location', 'lenders <> Entity', 'cash advance loans <> Entity', '$100 to $1000 <> Entity', 'personal loan <> Entity', 'credit <> Entity', 'good credit <> Entity', 'bad credit <> Entity', 'quickly <> Entity']"
"So, I can't trust LG-H990DS and I want a refund for LG-D990DS.","['LG-H990DS <> Electronic device', 'LG-D990DS <> Electronic device', 'refund <> Transaction']"
She left and I went about doing the usual things…. . and you know what….,"['She <> Person', 'usual things <> Routine activities']"
"Franklin and Linda Williams are a couple who have been operating the Williams Strawberry Farm, Camden, NC for 30 years.","['Franklin Williams <> Person', 'Linda Williams <> Person', 'Williams Strawberry Farm <> Business', 'Camden <> Location']"
"Macroaxis provides equity-specific financial widgets, gadgets, and stock tickers for Mehadrin Ltd. These reusable financial scriptlets can be easily installed within any HTML-based document by an end user without requiring any additional resources.","['Macroaxis <> company', 'equity-specific <> financial instrument type', 'financial widgets <> financial product', 'gadgets <> financial product', 'stock tickers <> financial product', 'Mehadrin Ltd <> company', 'HTML-based document <> document type', 'end user <> user type', 'additional resources <> requirement type']"
A quick edit with some examples from my work with the Slide Kamera S-980 PRO Slider. Some nice slides and sliding time-lapse footage.,"['Slide Kamera S-980 PRO Slider <> Camera Equipment', 'Slides <> Photography Technique', 'Sliding time-lapse footage <> Videography Technique']"
I am not good at starting things.,['starting things <> skill/ability']
Skills for Rhode Island’ s Future is recruiting candidates for AstroNova. Please read more about Skills for Rhode Island’ s Future at the end of this job description.,"[""Skills for Rhode Island's Future <> Organization"", 'AstroNova <> Organization']"
"About Us — Campbell Construction & Granite, INC.","['Campbell Construction & Granite, INC. <> Company Name', 'About Us <> Section Title', 'Campbell Construction <> Company Name', 'Granite <> Material Name']"
"Nevermore guitarist Jeff Loomis is one of the fiercest shredders of his generation. A master of alternate picking and sweep picking techniques, Loomis's lines are lightning-fast yet very clearly articulated.","['Jeff Loomis <> Musician', 'Nevermore <> Band', 'alternate picking <> Technique', 'sweep picking <> Technique']"
"The National Low Income Housing Coalition reports that “no state has an adequate supply of homes for its poorest renters,” and says that Montana has housing for only 45 of 100 in this category.","['National Low Income Housing Coalition <> Organization', 'state <> Geographic location', 'homes <> Physical object', 'poorest renters <> Demographic group', 'Montana <> Geographic location', '100 <> Numeric value', '45 <> Numeric value']"
These brain teasers are very much liked by kids and teens. Here are some more theme based fill in the missing vowels brain teasers in which one has to guess the shapes names by adding the vowel names in the blank spaces.,"['brain teasers <> activity', 'kids <> age group', 'teens <> age group', 'theme based fill in the missing vowels brain teasers <> activity']"
Missing Vowels Quiz is very good English Word Brain Teasers. Earlier we have published Missing Vowels Quiz with Fruits names and Fill in the blanks with vowels with animal names.,"['Missing Vowels Quiz <> Game/Activity', 'English Word Brain Teasers <> Game/Activity', 'Missing Vowels Quiz with Fruits names <> Game/Activity', 'Fill in the blanks with vowels with animal names <> Game/Activity']"
"A CMOS Integrated Circuit is a device that performs quadrature decoding, counter, and bus interface functions. Decoder Integrated Circuits are designed to improve system performance in both digital closed loop motion control and digital data input systems.","['CMOS Integrated Circuit <> Electronic Component', '', 'Quadrature Decoding <> Electronic Circuit Function', '', 'Counter <> Electronic Circuit Function', '', 'Bus Interface <> Electronic Circuit Function', '', 'Decoder Integrated Circuit <> Electronic Component']"
Here we have shared an amazing review on Swiss Polished SS 6-in-1 Utility Key.,"['Swiss Polished SS 6-in-1 Utility Key <> Product', 'Swiss <> Brand', 'Polished <> Attribute', 'SS <> Material', '6-in-1 <> Feature', 'Utility Key <> Product Type']"
"His collections are appreciated for the clean lines, the selected fabrics and the originality of the style, which skilfully mixes a little retro with a certain degree of playfulness.","['collections <> Fashion Product', 'clean lines <> Design Aesthetic', 'selected fabrics <> Material Quality', 'originality of the style <> Fashion Aesthetic', 'retro <> Fashion Aesthetic', 'playfulness <> Fashion Aesthetic']"
We have Registration Method set to Admin Approval. When the user self-registers they are returned to the login page because the /registerresult/x page requires you to be logged in to see it.,"['Registration Method <> System Action', 'Admin Approval <> System Action', 'User <> Entity Type', 'Login Page <> System Page', '/registerresult/x page <> System Page', 'Logged In <> System Status']"
This chemo really gets me blue for about a week. She promised to come back later that night if I needed her but I tried to be brave.,"['chemo <> medical treatment', 'week <> time duration', 'night <> time of day']"
"Recent evidence for the nonskeletal effects of vitamin D, coupled with recognition that vitamin D deficiency is common, has revived interest in this hormone. Vitamin D is produced by skin exposed to ultraviolet B radiation or obtained from dietary sources, including supplements.","['vitamin D <> nutrient', 'skin <> organ', 'ultraviolet B radiation <> electromagnetic radiation', 'dietary sources <> food', 'supplements <> nutrient source', 'hormone <> chemical messenger', 'vitamin D deficiency <> health condition']"
So Jeremy has been out of town since Sunday and my mom came to stay with me.,"['Jeremy <> Person', 'town <> Location', 'Sunday <> Time', 'mom <> Person', 'me <> Person']"
The use of Schmitt-triggered CMOS inputs and input noise filters allow reliable decoder IC operation in noisy environments. This decoder IC contains a 12-bit counter and provides TLL/CMOS compatible tri-state output buffers.,"['Schmitt-triggered CMOS inputs <> Technology/Design Feature', 'Input noise filters <> Technology/Design Feature', 'Decoder IC <> Technology/Component', '12-bit counter <> Technology/Component', 'TLL/CMOS compatible tri-state output buffers <> Technology/Design Feature']"
The GOP has a newly remodeled webpage with the catchy slogan “Better Off Now.,"['GOP <> Political Party', 'webpage <> Digital Platform', 'slogan <> Catchphrase', '“Better Off Now” <> Campaign Slogan']"
2b Cyber Cafe Directory - Links to UK cybercafes.,"['2b Cyber Cafe Directory <> Website Name', 'UK <> Location', 'Cybercafes <> Business Type']"
"Are you a retail store owner interested in carrying Baobab’s line of fun, earth-friendly kids clothes? If so, please fill out our wholesale application and we will send you a price list with shipping and payment information.","['Baobab <> Clothing brand', 'Retail store owner <> Occupation', 'Wholesale application <> Form/Process', 'Price list <> Document', 'Shipping information <> Information', 'Payment information <> Information']"
"She left this afternoon and I cried. She only lives 10 minutes away, but I cried!","['She <> Person', 'this afternoon <> Time', '10 minutes <> Duration', 'away <> Distance/Location', 'I <> Person', 'cried <> Emotion']"
"I Received LG-H990DS on Nov-3-2007. However, I don't found seal tape any where of the phone box. Why phone box was opened before I received LG-H990DS from Expansys?","['LG-H990DS <> Mobile device', 'Nov-3-2007 <> Date', 'seal tape <> Packaging material', 'phone box <> Packaging material', 'Expansys <> Company']"
"Conspiracy of Cells of Fire. ""Lone wolves are not alone…. "" 2012. Source: 325 #10.","['Conspiracy of Cells of Fire <> terrorist group', 'Lone wolves <> individual actors']"
"Ms. Yukino Kondo received eye bags treatment at Theory Clinic in December, 2013.","['Yukino Kondo <> Person', 'Theory Clinic <> Organization', 'December, 2013 <> Date', 'Eye bags treatment <> Medical Treatment']"
The kids kept me busy and the nausea seemed to subside a bit and we did OK.,"['The kids <> Human', 'nausea <> Medical Condition', 'OK <> Emotion']"
". HE DID GIVE ME COMFORT! I thought I’d be crying all evening and she’d be back by bedtime, but I did just fine.","['HE <> pronoun', 'ME <> pronoun', 'COMFORT <> emotion', 'I <> pronoun', 'EVENING <> time', 'BEDTIME <> time']"
"Amelia Island, FL (April 28, 2011) – The Carpet America Recovery Effort (CARE) announced its 2011 board of directors at the group’s ninth Annual Conference held April 27 through April 29 at Amelia Island Plantation, Amelia Island, Florida.","['Carpet America Recovery Effort <> Organization', '2011 board of directors <> Group', 'Annual Conference <> Event', 'Amelia Island Plantation <> Location', 'Amelia Island <> Location', 'Florida <> Location']"
